Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C2, C4",0402,4,1uF,C52923
"C11, C12, C13, C14, C15, C16, C17, C3, C5, C6",0402,10,100nF,C1525
"C18, C19, C20",0603,3,4.7uF,
"C7, C8",0402,2,22pF,C1555
C9,0402,1,10uF,C15525
D1,D_SOD-123,1,Schottky Diode,C8598
D3,0805,1,LED,C2297
"F2, F3",1206,2,500 mA,C70076
"H1, H2, H3, H4",MountingHole_2.1mm,4,MountingHole,
H5,qw new logo silk + copper sm,1,qw logo,
"H6, H8",1999 logo md,2,1999 logo,
H7,qw new logo silk + copper md,1,qw logo,
J1,TYPE-C_24P_QCHT,1,USB C Connector,C456013
J2,CON_TC2030_outlined,1,JTAG_TC2030,
J3,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J4,GCT_USB1130-15-A_REVA,1,USB_A,
J5,PinHeader_1x06_P2.00mm_Vertical,1,GCC Cable,
J6,PinHeader_1x10_P2.54mm_Vertical,1,Conn_01x10_Pin,
"R1, R12, R13",0603,3,1M,C25190
"R10, R11",0402,2,1k,C11702
R4,0402,1,470,C25744
R5,0603,1,5.6k,C23189
R6,0603,1,10k,C23192
R7,0402,1,10k,C25744
"R8, R9",0603,2,27,C25190
U1,SOT-23,1,XC6206,C5446
U2,SOT-23-6,1,USBLC6-2SC6,C7519
U3,RP2040-QFN-56,1,RP2040,C2040
U4,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12MHz,C9002
